MUNICIPALITY_CODE	PROVINCE_CODE	contains	EKATTE_ID	NAME_BG	TYPE_BG	NAME_EN	TYPE_EN
BLG52	BLG		"14"	Абланица	с.	Ablanitsa	с.
LOV18	LOV		"28"	Абланица	с.	Ablanitsa	с.
DOB20	DOB		"31"	Абрит	с.	Abrit	с.
SLV11	SLV		"45"	Мокрен	с.	Mokren	с.
BLG53	BLG		"59"	Аврамово	с.	Avramovo	с.
KRZ02	KRZ		"62"	Аврамово	с.	Avramovo	с.
VAR01	VAR		"84"	Аврен	с.	Avren	с.
KRZ15	KRZ		"93"	Аврен	с.	Avren	с.
GAB29	GAB		"103"	Агатово	с.	Agatovo	с.
KRZ14	KRZ		"120"	Върбен	с.	Varben	с.
BLG03	BLG		"134"	Изгрев	с.	Izgrev	с.
BGS01	BGS		"151"	Айтос	гр.	Aytos	гр.
PAZ04	PAZ		"165"	Аканджиево	с.	Akandzhievo	с.
VID09	VID		"179"	Акациево	с.	Akatsievo	с.
VAR02	VAR		"182"	Аксаково	гр.	Aksakovo	гр.
SML11	SML		"196"	Аламовци	с.	Alamovtsi	с.
KRZ08	KRZ		"206"	Албанци	с.	Albantsi	с.
TGV35	TGV		"215"	Алваново	с.	Alvanovo	с.
SFO45	SFO		"223"	Алдомировци	с.	Aldomirovtsi	с.
VTR28	VTR		"237"	Алеково	с.	Alekovo	с.
SLS01	SLS		"240"	Алеково	с.	Alekovo	с.
PAZ19	PAZ		"254"	Алеко Константиново	с.	Aleko Konstantinovo	с.
DOB20	DOB		"268"	Александрия	с.	Aleksandria	с.
BGS17	BGS		"271"	Александрово	с.	Aleksandrovo	с.
VTR28	VTR		"285"	Александрово	с.	Aleksandrovo	с.
LOV18	LOV		"299"	Александрово	с.	Aleksandrovo	с.
SZR24	SZR		"309"	Александрово	с.	Aleksandrovo	с.
TGV35	TGV		"312"	Александрово	с.	Aleksandrovo	с.
HKV34	HKV		"326"	Александрово	с.	Aleksandrovo	с.
SHU25	SHU		"330"	Александрово	с.	Aleksandrovo	с.
JAM22	JAM		"343"	Александрово	с.	Aleksandrovo	с.
SOF46	SOF		"357"	Нови Искър	гр.	Novi Iskar	гр.
DOB12	DOB		"360"	Александър Стамболийски	с.	Aleksandar Stamboliyski	с.
DOB15	DOB		"374"	Самуилово	с.	Samuilovo	с.
SFO39	SFO		"391"	Алино	с.	Alino	с.
VRC08	VRC		"401"	Алтимир	с.	Altimir	с.
