EKATTE_ID,SETTLEMENT_NAME,AREA(DECARS)
00151,"гр. Айтос, общ. Айтос, обл. Бургас",79033
00182,"гр. Аксаково, общ. Аксаково, обл. Варна",18958
00415,"гр. Алфатар, общ. Алфатар, обл. Силистра",105443
00518,"гр. Антоново, общ. Антоново, обл. Търговище",25076
52218,"гр. Априлци, общ. Априлци, обл. Ловеч",203099
00607,"гр. Ардино, общ. Ардино, обл. Кърджали",15328
00702,"гр. Асеновград, общ. Асеновград, обл. Пловдив",78012
00833,"гр. Ахелой, общ. Поморие, обл. Бургас",13200
00878,"гр. Ахтопол, общ. Царево, обл. Бургас",28704
02508,"гр. Балчик, общ. Балчик, обл. Добрич",74411
02659,"гр. Банкя, общ. Столична, обл. София (столица)",33002
02676,"гр. Банско, общ. Банско, обл. Благоевград",148280
02720,"гр. Баня, общ. Карлово, обл. Пловдив",14459
02837,"гр. Батак, общ. Батак, обл. Пазарджик",461105
72223,"гр. Батановци, общ. Перник, обл. Перник",20634
03366,"гр. Белене, общ. Белене, обл. Плевен",146310
03504,"гр. Белица, общ. Белица, обл. Благоевград",72923
03592,"гр. Белово, общ. Белово, обл. Пазарджик",135307
03616,"гр. Белоградчик, общ. Белоградчик, обл. Видин",22234
03719,"гр. Белослав, общ. Белослав, обл. Варна",38370
03928,"гр. Берковица, общ. Берковица, обл. Монтана",80655
04279,"гр. Благоевград, общ. Благоевград, обл. Благоевград",28909
04501,"гр. Бобов дол, общ. Бобов дол, обл. Кюстендил",18286
04532,"гр. Бобошево, общ. Бобошево, обл. Кюстендил",22931
05027,"гр. Божурище, общ. Божурище, обл. София",0
05236,"гр. Бойчиновци, общ. Бойчиновци, обл. Монтана",16609
05284,"гр. Болярово, общ. Болярово, обл. Ямбол",39395
05611,"гр. Борово, общ. Борово, обл. Русе",37264
05815,"гр. Ботевград, общ. Ботевград, обл. София",53298
06207,"гр. Брацигово, общ. Брацигово, обл. Пазарджик",26199
06224,"гр. Брегово, общ. Брегово, обл. Видин",46476
06286,"гр. Брезник, общ. Брезник, обл. Перник",23481
06361,"гр. Брезово, общ. Брезово, обл. Пловдив",49962
06570,"гр. Брусарци, общ. Брусарци, обл. Монтана",20840
07079,"гр. Бургас, общ. Бургас, обл. Бургас",284442
07140,"гр. Бухово, общ. Столична, обл. София (столица)",44821
07332,"гр. Българово, общ. Бургас, обл. Бургас",52035
07702,"гр. Бяла Слатина, общ. Бяла Слатина, обл. Враца",82383
07716,"гр. Бяла черква, общ. Павликени, обл. Велико Търново",38538
07598,"гр. Бяла, общ. Бяла, обл. Варна",42859
07603,"гр. Бяла, общ. Бяла, обл. Русе",86862
10135,"гр. Варна, общ. Варна, обл. Варна",153751
58222,"гр. Велики Преслав, общ. Велики Преслав, обл. Шумен",76763
10447,"гр. Велико Търново, общ. Велико Търново, обл. Велико Търново",30379
