ekatte,shared_grounds_parent,shared_grounds_children,t_v_m,name,oblast,obstina,kmetstvo,kind,category,altitude,document,tsb,abc,area
00014,,,с.,Абланица,BLG,BLG52,BLG52-01,3,5,6,1928,SW,1,33663
00028,,,с.,Абланица,LOV,LOV18,LOV18-01,3,7,5,1928,NW,2,23610
00031,,,с.,Абрит,DOB,DOB20,DOB20-01,3,7,3,1928,NE,4,19673
00045,,,с.,Мокрен,SLV,SLV11,SLV11-01,3,5,4,1928,SE,3127,78701
00059,,,с.,Аврамово,BLG,BLG53,BLG53-01,3,5,7,1928,SW,5,5284
00062,,,с.,Аврамово,KRZ,KRZ02,KRZ02-19,3,8,6,1928,S,6,6197
00084,,,с.,Аврен,VAR,VAR01,VAR01-00,3,5,4,1928,NE,7,58364
00093,,,с.,Аврен,KRZ,KRZ15,KRZ15-01,3,6,6,1928,S,8,35229
00103,,,с.,Агатово,GAB,GAB29,GAB29-01,3,7,5,1928,N,9,36488
00117,02563,,с.,Азманите,GAB,GAB35,GAB35-00,3,8,6,1928,N,10,0
00120,,,с.,Върбен,KRZ,KRZ14,KRZ14-01,3,7,5,1928,S,897,5854
00134,,,с.,Изгрев,BLG,BLG03,BLG03-01,3,5,7,1928,SW,2081,6306
00148,53638,,с.,Айрово,KRZ,KRZ16,KRZ16-50,3,5,4,1928,S,12,0
00151,,,гр.,Айтос,BGS,BGS01,BGS01-00,1,2,2,1928,SE,13,79033
00165,,,с.,Аканджиево,PAZ,PAZ04,PAZ04-07,3,6,4,1928,S,14,11606
00179,,,с.,Акациево,VID,VID09,VID09-00,3,8,5,1928,NW,15,3486
00182,,,гр.,Аксаково,VAR,VAR02,VAR02-00,1,3,3,1928,NE,16,18958
00196,,,с.,Аламовци,SML,SML11,SML11-01,3,7,7,1928,S,17,18371
00206,,,с.,Албанци,KRZ,KRZ08,KRZ08-17,3,8,5,1928,S,18,807
00215,,,с.,Алваново,TGV,TGV35,TGV35-01,3,7,3,1928,NE,19,14860
00223,,,с.,Алдомировци,SFO,SFO45,SFO45-01,3,5,6,1928,SW,20,36582
00237,,,с.,Алеково,VTR,VTR28,VTR28-01,3,6,2,1928,N,22,34698
00240,,,с.,Алеково,SLS,SLS01,SLS01-01,3,6,4,1928,N,23,49570
00254,,,с.,Алеко Константиново,PAZ,PAZ19,PAZ19-01,3,5,4,1928,S,21,15864
00268,,,с.,Александрия,DOB,DOB20,DOB20-00,3,8,3,1928,NE,24,35032
00271,,,с.,Александрово,BGS,BGS17,BGS17-00,3,7,2,1928,SE,25,11093
