"SETTLEMENT","MUNICIPALITY","PROVINCE","POSTAL_CODE","EKATTE_ID"
"Абланица","Хаджидимово","Благоевград","2932","00014"
"Абланица","Ловеч","Ловеч","5574","00028"
"Абланица","Велинград","Пазарджик","4645","00881"
"Абрит","Крушари","Добрич","9407","00031"
"Аврамово","Якоруда","Благоевград","2795","00059"
"Аврамово","Ардино","Кърджали","6797","00062"
"Аврен","Аврен","Варна","9135","00084"
"Аврен","Крумовград","Кърджали","6930","00093"
"Агатово","Севлиево","Габрово","5431","00103"
"Азманите","Трявна","Габрово","5350","00117"
"Айдемир","Силистра","Силистра","7538","00895"
"Айрово","Кърджали","Кърджали","6639","00148"
"Айтос","Айтос","Бургас","8500","00151"
"Аканджиево","Белово","Пазарджик","4483","00165"
"Акациево","Видин","Видин","3727","00179"
"Аксаково","Аксаково","Варна","9154","00182"
"Аламовци","Златоград","Смолян","4984","00196"
"Албанци","Джебел","Кърджали","6850","00206"
"Албена","Балчик","Добрич","9620","#N/A"
"Алваново","Търговище","Търговище","7752","00215"
"Алдомировци","Сливница","София","2222","00223"
"Алеко Константиново","Пазарджик","Пазарджик","4411","00254"
"Алеково","Свищов","Велико Търново","5288","00237"
"Алеково","Алфатар","Силистра","7555","00240"
"Александрия","Крушари","Добрич","9404","00268"
"Александрово","Поморие","Бургас","8211","00271"
"Александрово","Свищов","Велико Търново","5289","00285"
"Александрово","Ловеч","Ловеч","5560","00299"
"Александрово","Павел баня","Стара Загора","6154","00309"
"Александрово","Търговище","Търговище","7761","00312"
"Александрово","Хасково","Хасково","6351","00326"
"Александрово","Смядово","Шумен","9829","00330"
"Александрово","Стралджа","Ямбол","8653","00343"
"Александър Стамболийски","Генерал Тошево","Добрич","9565","00360"
"Алендарова","Велинград","Пазарджик","4621","83421"
"Алиговска","Смолян","Смолян","4787","00388"
"Алино","Самоков","София","2019","00391"
"Алтимир","Бяла Слатина","Враца","3251","00401"
"Алфатар","Алфатар","Силистра","7570","00415"
"Алцек","Добрич","Добрич","9434","#N/A"
"Ангел войвода","Минерални бани","Хасково","6373","00446"
"Ангеларий","Тервел","Добрич","9483","00432"
"Ангелов","Габрово","Габрово","5342","00456"
"Анево","Сопот","Пловдив","4331","00480"
"Антимово","Видин","Видин","3776","00919"
"Антимово","Тутракан","Силистра","7628","00494"
"Антон","Антон","София","2089","00504"
"Антоново","Антоново","Търговище","7970","00518"
"Аплаци","Елена","Велико Търново","5094","00521"
"Априлово","Горна Малина","София","2128","00549"
"Априлово","Гълъбово","Стара Загора","6281","00552"
"Априлово","Попово","Търговище","7864","00566"
"Априлци","Кирково","Кърджали","6888","00905"
