parent;child
00597;00388
00597;15343
00597;18068
00597;62534
00638;44015
00638;56191
02292;70706
02347;04683
02347;14756
02347;38813
02347;76217
02563;00117
02563;10344
02563;22993
02563;30733
02563;36720
02563;47456
02563;51603
02782;04100
02782;68521
02885;36347
02885;36600
02988;43743
03054;04652
03054;05709
03054;07805
03054;14430
03054;32055
03054;56011
03054;57738
03054;57741
03054;80042
03054;80978
03513;00641
03513;15196
03513;21035
03513;23594
03513;24671
03513;32041
03513;47072
03513;61649
03513;61916
03592;15802
03678;62791
03767;03770
04025;11956
04025;22527
04025;40350
04025;51370
04025;53477
04025;62267
04025;66857
04025;68624
04025;72535
04460;10598
04460;15391
04460;24654
04460;47158
04460;51367
04460;51696
04460;72446
04460;73634
04460;80515
04801;23929
04801;43668
04801;54376
04964;72998
05164;65632
05400;46365
05400;69211
05414;57916
05414;80604
05476;56246
05671;07380
05671;24637
06608;49641
06608;54050
06803;48297
06851;04649
06851;20729
06851;48009
06851;55405
06851;63522
06896;10522
06896;14088
06896;22513
06896;23265
06896;37616
06896;39075
06896;39880
06896;43061
06896;47227
06896;51531
06896;51706
06896;51771
06896;52386
06896;83452
07510;37318
10029;02539
10029;41191
10029;66144
10433;67492
10910;21213
10971;52283
11358;23683
11870;07569
11898;03753
11898;32617
11898;37160
11898;57666
11898;58520
11898;70264
11898;72583
12098;05240
12098;21796
12098;22383
12098;34076
12098;37006
12098;47175
12098;54095
12098;62270
12098;70603
12098;72312
12098;75229
12168;48516
12168;61902
12168;69287
12396;06015
12396;06118
12396;14578
12396;20715
12396;24058
12396;57114
12396;61435
12396;65262
12512;31285
12655;39311
12677;02556
12677;07185
12677;16479
12677;20907
12677;21395
12677;22352
12677;22397
12677;23042
12677;32812
12677;38741
12677;40587
12677;40960
12677;46485
12677;51439
12677;59152
12677;61296
12677;68816
12677;70696
12718;43637
12718;56681
12718;68638
12896;24952
14194;44906
14218;02207
14218;05219
14218;12111
14218;14742
14218;16715
14218;24854
14218;30764
14218;49655
14218;47994
14218;49062
14218;59300
14218;59135
14218;63296
14218;63690
14218;70768
14218;69479
14218;72597
14218;73290
14218;81685
14235;05222
14235;16047
14235;20434
14235;21066
14235;21899
14235;59121
14235;83418
14413;75157
14458;63330
14489;53758
14533;14814
14533;51715
14533;55717
14605;30226
14605;46019
14859;02333
14859;62726
15401;12913
15401;46855
15401;51175
15429;24949
15641;47342
16732;22592
17052;27415
17186;03258
17868;30911
17868;62178
17991;02631
17991;03246
17991;04488
17991;10896
17991;14324
17991;32069
17991;65680
17991;65989
17991;67996
17991;81431
17991;83034
18054;15240
18160;06793
18174;05027
18215;05668
18215;35986
18215;49299
18215;55796
18215;67533
18424;72360
20198;46629
20268;20081
20268;69540
20268;73568
20514;20506
20514;61217
20660;55703
21124;06478
21124;20211
21124;29297
21124;29595
21261;15357
21261;36628
21261;67934
21680;87802
21885;17302
22006;87816
22753;16870
22959;00456
22959;02419
23159;23203
23159;51843
23710;02213
23710;16568
23710;21364
23710;36275
23710;38738
23710;55693
23947;18397
23947;40316
23947;49463
24178;24181
24178;38621
24342;61635
24342;87148
24894;38902
24894;50245
27303;18490
27526;07404
27526;16585
27526;16609
27526;22441
27526;22486
27526;36988
27526;47384
27526;52369
27526;61409
27632;17289
29547;23185
29547;32582
29547;72878
29547;87607
30106;23803
30418;14762
30418;65162
30661;11524
30661;29324
30973;48235
32319;04068
32319;15223
32319;15463
32319;40470
32319;56023
32411;02926
32593;73331
32593;75040
32593;77534
32665;69969
32706;04265
34103;50512
35047;51994
35273;17227
35465;02378
35465;27276
35821;06421
35821;32651
35821;56842
35821;58267
35821;77236
35821;80707
35883;65783
36587;36590
36938;72967
37349;65288
37352;03650
37352;05267
37352;11586
37352;12454
37352;35626
37352;53151
37352;62400
37352;66161
37352;68210
37352;70442
37352;77164
37352;78302
37352;80889
37527;87535
37722;07795
37722;55498
37722;66007
37722;68165
37722;83260
38011;04724
38176;38491
38337;15120
38337;37842
38337;40035
38577;06642
38577;32072
38577;53948
38710;47127
38861;10063
38861;17703
38861;30721
38861;37976
38861;70439
39181;48218
39637;21107
39637;51038
39637;57710
39863;48934
39877;39013
40052;81013
40258;35448
40275;11960
40275;72031
40275;83435
40302;32086
40662;14115
40662;36556
40662;48146
40988;47888
41136;18513
43092;14475
43339;10536
43339;23412
43339;32233
43339;36292
43339;37366
43339;38060
43339;38920
43339;62245
43339;69403
43339;81637
43387;38594
43582;05387
43582;21943
43699;69290
43788;27334
43856;67979
43952;32500
43983;81801
46045;40110
46125;12615
46125;43342
46125;72641
46286;70072
46989;02453
46989;40244
47425;22455
47425;61515
48057;11274
48057;16626
48057;32305
48057;62133
48057;72847
48461;00669
48461;11260
48461;12187
48605;20852
48605;47706
48605;57532
48605;68919
48605;75099
48742;21227
48814;32891
48814;75215
48814;80666
48814;80678
49285;80193
49450;44611
49450;51411
51319;41277
51442;11226
52372;24219
53059;47857
53309;17676
53638;00148
53792;37945
55261;06344
55261;17083
55261;20027
55261;48283
55261;73448
55302;59375
55600;02689
55600;57683
55631;36035
56126;63542
56602;40779
56719;16643
56719;34062
56719;52355
56719;66344
56798;38604
56962;54359
56962;62760
57128;68271
57282;76042
57282;31841
57675;14355
57675;15059
57675;20969
57675;36823
57675;49237
57675;56229
57675;58102
57675;62253
57675;80056
57675;87432
57892;24966
57950;57933
58284;24606
58284;48177
58284;48800
58284;54523
58284;87081
58284;87117
58894;31022
61251;69897
61323;06241
61323;22962
61323;23279
61323;38090
61529;16523
61529;24133
61529;63447
61529;70367
61529;83555
61710;70860
61830;16417
61830;24126
61861;04011
61861;05935
61861;11065
61861;16016
61861;21110
61861;32127
61861;37335
61861;43013
61861;48636
61861;56383
61861;63464
61861;66010
61861;66189
61861;78389
61861;78536
62431;20571
62637;68093
63207;04861
63207;05365
63207;07689
63207;21347
63207;24284
63207;37959
63495;77445
65365;59358
65534;83421
65534;12334
65534;24325
65752;15850
65752;17840
65766;67787
65810;12042
66384;44673
66384;70620
66531;53521
66603;58623
67395;81339
67547;02076
67653;11572
67653;14129
67653;24089
67653;56455
67653;77205
68000;69256
68014;66929
68429;02169
68429;03945
68429;32682
68429;62325
68429;77178
68451;63481
68494;24548
68494;52057
68494;53165
68494;62476
68494;81428
68494;81668
68727;15093
68823;02943
68823;10570
68823;11541
68823;14310
68823;16506
68823;17316
68823;32785
68823;38234
68823;39685
68823;40364
68823;46869
68823;49271
68823;51469
68823;56678
68823;61546
68823;62120
68823;63210
68823;65735
68823;67427
68823;76234
68998;20701
69105;59344
69146;80279
69345;11604
69345;17837
69417;13069
69417;40659
69417;57755
69417;70799
69417;73434
69417;75037
69451;04474
70202;68970
72223;81952
72607;00521
72607;02110
72607;03232
72607;10745
72607;23131
72607;23220
72607;24027
72607;36052
72607;36378
72607;36871
72607;48430
72607;49583
72607;55442
72607;61892
72607;70216
72607;78269
72607;83168
72850;58668
73105;11733
73105;29502
73403;56304
73403;37890
73403;62308
73482;56294
73599;12841
73599;56157
73599;61234
73626;61676
73777;27262
76220;10519
76220;37575
76220;48581
76220;51562
76220;55049
76220;56900
76220;57546
76220;69609
76220;70007
78094;02436
80399;06255
80786;47130
81058;07421
81058;11507
81058;12485
81058;15480
81058;20078
81058;21378
81058;36765
81058;36991
81058;46512
81058;57707
81058;59104
81058;72669
81058;75139
81058;77459
81058;80114
81178;63015
81726;56705
81734;86060
81904;07908
81904;27677
81904;59327
81904;81918
83171;02191
83171;18335
83171;62360
83274;12807
83274;40498
83274;67430
83497;27485
87312;72672
87326;02498
87326;06662
87326;12629
87326;12855
87326;22976
87326;23162
87326;47487
87326;69393
87552;43832
